Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.0,6110.0,5660.0,6110.0,4429.95263671875,74195000
2000-01-05,5800.0,6060.0,5520.0,5580.0,4045.68505859375,74680000
2000-01-06,5750.0,5780.0,5580.0,5620.0,4074.68701171875,54390000
2000-01-07,5560.0,5670.0,5360.0,5540.0,4016.6826171875,40305000
2000-01-10,5600.0,5770.0,5580.0,5770.0,4183.443359375,46880000
2000-01-11,5820.0,6100.0,5770.0,5770.0,4183.443359375,59745000
2000-01-12,5610.0,5740.0,5600.0,5720.0,4147.18798828125,29220000
2000-01-13,5600.0,5740.0,5560.0,5710.0,4139.9384765625,41190000
2000-01-14,5720.0,5880.0,5680.0,5830.0,4226.943359375,49375000
2000-01-17,6000.0,6180.0,5920.0,6100.0,4422.70068359375,63505000
2000-01-18,6160.0,6160.0,5980.0,6100.0,4422.70068359375,45260000
2000-01-19,6000.0,6040.0,5960.0,5960.0,4321.19580078125,40205000
2000-01-20,5860.0,6040.0,5820.0,6040.0,4379.20166015625,37315000
2000-01-21,5950.0,5980.0,5880.0,5880.0,4263.1943359375,32535000
2000-01-24,5800.0,5900.0,5700.0,5700.0,4132.68896484375,34355000
2000-01-25,5520.0,5640.0,5440.0,5440.0,3944.17919921875,44250000
2000-01-26,5500.0,5520.0,5410.0,5480.0,3973.18310546875,29285000
2000-01-27,5480.0,5620.0,5430.0,5520.0,4002.1826171875,27900000
2000-01-28,5640.0,5880.0,5540.0,5820.0,4219.69287109375,38315000
2000-01-31,5640.0,5730.0,5560.0,5580.0,4045.68505859375,39630000
2000-02-01,5600.0,5680.0,5260.0,5320.0,3857.17529296875,71470000
2000-02-02,5220.0,5370.0,5110.0,5250.0,3806.424072265625,64105000
2000-02-03,5250.0,5460.0,4970.0,5130.0,3719.419677734375,142765000
2000-02-04,5130.0,5130.0,5130.0,5130.0,3719.419677734375,0
2000-02-07,5140.0,5330.0,5040.0,5240.0,3799.172607421875,64140000
2000-02-08,5340.0,5480.0,5310.0,5430.0,3936.9296875,58460000
2000-02-09,5560.0,5720.0,5480.0,5720.0,4147.18798828125,51050000
2000-02-10,5660.0,5880.0,5600.0,5760.0,4176.18994140625,61845000
2000-02-11,5960.0,5960.0,5680.0,5700.0,4132.68896484375,34660000
2000-02-14,5600.0,5660.0,5340.0,5380.0,3900.679443359375,44140000
2000-02-15,5380.0,5420.0,5140.0,5200.0,3770.173095703125,38315000
2000-02-16,5180.0,5200.0,4780.0,5000.0,3625.165771484375,73115000
2000-02-17,4940.0,5100.0,4910.0,5080.0,3683.16748046875,65185000
2000-02-18,5370.0,5630.0,5160.0,5300.0,3842.674560546875,108750000
2000-02-21,5200.0,5260.0,5030.0,5070.0,3675.916259765625,26485000
2000-02-22,5000.0,5240.0,5000.0,5120.0,3712.1689453125,24180000
2000-02-23,5220.0,5260.0,5100.0,5140.0,3726.6689453125,27720000
2000-02-24,5120.0,5240.0,5060.0,5070.0,3675.916259765625,26075000
2000-02-25,5080.0,5150.0,4980.0,5120.0,3712.1689453125,27875000
2000-02-28,5000.0,5050.0,4800.0,4800.0,3480.158447265625,30140000
2000-02-29,4900.0,5140.0,4840.0,5120.0,3712.1689453125,51820000
2000-03-01,5120.0,5120.0,5120.0,5120.0,3712.1689453125,0
2000-03-02,5880.0,5880.0,5520.0,5880.0,4263.1943359375,117750000
2000-03-03,6200.0,6250.0,5880.0,6000.0,4350.19873046875,140990000
2000-03-06,6000.0,6050.0,5600.0,5640.0,4089.186279296875,39150000
2000-03-07,5600.0,5640.0,5480.0,5620.0,4074.68701171875,30070000
2000-03-08,5520.0,6000.0,5500.0,5920.0,4292.19482421875,32460000
2000-03-09,5970.0,5980.0,5620.0,5620.0,4074.68701171875,55890000
2000-03-10,5790.0,5800.0,5520.0,5540.0,4016.6826171875,28605000
2000-03-13,5480.0,5490.0,5160.0,5180.0,3755.67138671875,32215000
2000-03-14,5170.0,5380.0,5160.0,5210.0,3777.42138671875,30060000
2000-03-15,5200.0,5400.0,5120.0,5400.0,3915.178955078125,46105000
2000-03-16,5480.0,5520.0,5360.0,5400.0,3915.178955078125,28795000
2000-03-17,5540.0,5560.0,5400.0,5480.0,3973.18310546875,24080000
2000-03-20,5600.0,5710.0,5530.0,5660.0,4103.68603515625,26365000
2000-03-21,5700.0,5940.0,5610.0,5880.0,4263.1943359375,44925000
2000-03-22,5960.0,6300.0,5880.0,6200.0,4495.20556640625,86975000
2000-03-23,6480.0,6580.0,6200.0,6200.0,4495.20556640625,64950000
2000-03-24,6320.0,7120.0,6180.0,6800.0,4930.22412109375,90260000
2000-03-27,6960.0,7040.0,6700.0,6800.0,4930.22412109375,67730000
2000-03-28,6900.0,7260.0,6820.0,7030.0,5096.98046875,74425000
2000-03-29,7030.0,7680.0,6980.0,7660.0,5553.7548828125,78090000
2000-03-30,7520.0,7560.0,7050.0,7050.0,5111.48388671875,74645000
2000-03-31,6800.0,7070.0,6650.0,6700.0,4857.72216796875,63855000
2000-04-03,6920.0,7320.0,6860.0,7100.0,5147.73388671875,56805000
2000-04-04,7000.0,7290.0,6660.0,6800.0,4930.22412109375,58340000
2000-04-05,6800.0,6800.0,6800.0,6800.0,4930.22412109375,0
2000-04-06,6860.0,6960.0,6680.0,6680.0,4843.22314453125,47235000
2000-04-07,6860.0,7260.0,6780.0,7200.0,5220.23876953125,42355000
2000-04-10,7500.0,7500.0,7200.0,7300.0,5292.7421875,35885000
2000-04-11,7200.0,7200.0,6950.0,7100.0,5147.73388671875,29075000
2000-04-12,6960.0,7030.0,6860.0,6910.0,5009.97998046875,35250000
2000-04-13,6910.0,6910.0,6910.0,6910.0,5009.97998046875,0
2000-04-14,6600.0,6680.0,6260.0,6260.0,4538.70703125,62365000
2000-04-17,5420.0,5750.0,5340.0,5520.0,4002.1826171875,78050000
